,Player,AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,NewLeague,Salary
0,Andy Allanson,293,66,1,30,29,14,1,293,66,1,30,29,14,A,E,446,33,20,A,
15,Billy Beane,183,39,3,20,15,11,3,201,42,3,20,16,11,A,W,118,0,0,A,
18,Bruce Bochte,407,104,6,57,43,65,12,5233,1478,100,643,658,653,A,W,912,88,9,A,
22,Bob Boone,22,10,1,4,2,1,6,84,26,2,9,9,3,A,W,812,84,11,A,
30,Bobby Grich,313,84,9,42,30,39,17,6890,1833,224,1033,864,1087,A,W,127,221,7,A,
32,Bob Horner,517,141,27,70,87,52,9,3571,994,215,545,652,337,N,W,1378,102,8,N,
36,Bobby Meacham,161,36,0,19,10,17,4,1053,244,3,156,86,107,A,E,70,149,12,A,
38,Ben Oglivie,346,98,5,31,53,30,16,5913,1615,235,784,901,560,A,E,0,0,0,A,
39,Bip Roberts,241,61,1,34,12,14,1,241,61,1,34,12,14,N,W,166,172,10,N,
41,Bill Russell,216,54,0,21,18,15,18,7318,1926,46,796,627,483,N,W,103,84,5,N,
42,Billy Sample,200,57,6,23,14,14,9,2516,684,46,371,230,195,N,W,69,1,1,N,
44,Butch Wynegar,194,40,7,19,29,30,11,4183,1069,64,486,493,608,A,E,325,22,2,A,
48,Cecil Cooper,542,140,12,46,75,41,16,7099,2130,235,987,1089,431,A,E,697,61,9,A,
52,Cliff Johnson,19,7,0,1,2,1,4,41,13,1,3,4,4,A,E,0,0,0,A,
57,Charlie Moore,235,61,3,24,39,21,14,3926,1029,35,441,401,333,A,E,425,43,4,A,
64,Doug Baker,24,3,0,1,0,2,3,159,28,0,20,12,9,A,W,80,4,0,A,
66,Dann Bilardello,191,37,4,12,17,14,4,773,163,16,61,74,52,N,E,391,38,8,N,
69,Dave Collins,419,113,1,44,27,44,12,4484,1231,32,612,344,422,A,E,211,2,1,A,
71,Darren Daulton,138,31,8,18,21,38,3,244,53,12,33,32,55,N,E,244,21,4,N,
77,Danny Heep,195,55,5,24,33,30,8,1313,338,25,144,149,153,N,E,83,2,1,N,
80,Dave Kingman,561,118,35,70,94,33,16,6677,1575,442,901,1210,608,A,W,463,32,8,A,
83,Darryl Motley,227,46,7,23,20,12,5,1325,324,44,156,158,67,A,W,92,2,2,A,
94,Dickie Thon,278,69,3,24,21,29,8,2079,565,32,258,192,162,N,W,142,210,10,N,
97,Enos Cabell,277,71,2,27,29,14,15,5952,1647,60,753,596,259,N,W,360,32,5,N,
101,Ernest Riles,524,132,9,69,47,54,2,972,260,14,123,92,90,A,E,212,327,20,A,
103,Ernie Whitt,395,106,16,48,56,35,10,2303,571,86,266,323,248,A,E,709,41,7,A,
104,Fred Lynn,397,114,23,67,67,53,13,5589,1632,241,906,926,716,A,E,244,2,4,A,
105,Floyd Rayford,210,37,8,15,19,15,6,994,244,36,107,114,53,A,E,40,115,15,A,
106,Franklin Stubbs,420,95,23,55,58,37,3,646,139,31,77,77,61,N,W,206,10,7,N,
114,George Foster,284,64,14,30,42,24,18,7023,1925,348,986,1239,666,N,E,96,4,4,N,
125,Gorman Thomas,315,59,16,45,36,58,13,4677,1051,268,681,782,697,A,W,0,0,0,A,
138,Juan Bonilla,284,69,1,33,18,25,5,1407,361,6,139,98,111,A,E,122,140,5,N,
144,Julio Cruz,209,45,0,38,19,42,10,3859,916,23,557,279,478,A,W,132,205,5,A,
150,Jerry Hairston,225,61,5,32,26,26,11,1568,408,25,202,185,257,A,W,132,9,0,A,
157,Joe Orsulak,401,100,2,60,19,28,4,876,238,2,126,44,55,N,E,193,11,4,N,
158,Jorge Orta,336,93,9,35,46,23,15,5779,1610,128,730,741,497,A,W,0,0,0,A,
160,Jamie Quirk,219,47,8,24,26,17,12,1188,286,23,100,125,63,A,W,260,58,4,A,
169,Jeff Stone,249,69,6,32,19,20,4,702,209,10,97,48,44,N,E,103,8,2,N,
171,Jim Traber,212,54,13,28,44,18,2,233,59,13,31,46,20,A,E,243,23,5,A,
173,Jerry Willard,161,43,4,17,26,22,3,707,179,21,77,99,76,A,W,300,12,2,A,
197,Luis Rivera,166,34,0,20,13,17,1,166,34,0,20,13,17,N,E,64,119,9,N,
199,Lonnie Smith,508,146,8,80,44,46,9,3148,915,41,571,289,326,A,W,245,5,9,A,
203,Mike Brown,243,53,4,18,26,27,4,853,228,23,101,110,76,N,E,107,3,3,N,
208,Mike Fitzgerald,209,59,6,20,37,27,4,884,209,14,66,106,92,N,E,415,35,3,N,
210,Mickey Hatcher,317,88,3,40,32,19,8,2543,715,28,269,270,118,A,W,220,16,4,A,
225,Nick Esasky,330,76,12,35,41,47,4,1367,326,55,167,198,167,N,W,512,30,5,N,
228,Omar Moreno,359,84,4,46,27,21,12,4992,1257,37,699,386,387,N,W,151,8,5,N,
235,Pete O'Brien,551,160,23,86,90,87,5,2235,602,75,278,328,273,A,W,1224,115,11,A,
246,Rich Gedman,462,119,16,49,65,37,7,2131,583,69,244,288,150,A,E,866,65,6,A,
250,Ricky Jones,33,6,0,2,4,7,1,33,6,0,2,4,7,A,W,205,5,4,A,
253,Randy Kutcher,186,44,7,28,16,11,1,186,44,7,28,16,11,N,W,99,3,1,N,
254,Rudy Law,307,80,1,42,36,29,7,2421,656,18,379,198,184,A,W,145,2,2,A,
270,Reggie Williams,303,84,4,35,32,23,2,312,87,4,39,32,23,N,W,179,5,3,N,
283,Tony Armas,16,2,0,1,0,0,2,28,4,0,1,0,0,A,E,247,4,8,A,
292,Toby Harrah,289,63,7,36,41,44,17,7402,1954,195,1115,919,1153,A,W,166,211,7,A,
298,Tom O'Malley,181,46,1,19,18,17,5,937,238,9,88,95,104,A,E,37,98,9,A,
302,Tony Perez,200,51,2,14,29,25,23,9778,2732,379,1272,1652,925,N,W,398,29,7,N,
305,Tim Raines,580,194,9,91,62,78,8,3372,1028,48,604,314,469,N,E,270,13,6,N,
316,Wayne Krenchicki,221,53,2,21,23,22,8,1063,283,15,107,124,106,N,E,325,58,6,N,
